wyniki ankiety - mierniki ekonomiczne;;
id.;miara;wartość
R_108;wydatki_na_żywność_mc;1041
R_109;dochody roczne;54
R_109;wydatki_na_żywność_mc;1061
R_110;dochody roczne;36
R_110;wydatki_na_żywność_mc;1066
R_111;dochody roczne;54
R_111;wydatki_na_żywność_mc;1078
R_112;dochody roczne;54
R_112;wydatki_na_żywność_mc;1078
R_113;dochody roczne;57
R_113;wydatki_na_żywność_mc;1104
R_114;dochody roczne;59
R_114;wydatki_na_żywność_mc;1130
R_115;dochody roczne;60
R_115;wydatki_na_żywność_mc;1164
R_116;dochody roczne;61
R_116;wydatki_na_żywność_mc;1181
R_117;dochody roczne;57
R_117;wydatki_na_żywność_mc;1247
R_118;dochody roczne;57
R_118;wydatki_na_żywność_mc;1247
R_119;dochody roczne;54
R_119;wydatki_na_żywność_mc;1061
R_120;dochody roczne;61
R_120;wydatki_na_żywność_mc;1181
R_121;dochody roczne;57
R_121;wydatki_na_żywność_mc;1247
R_122;dochody roczne;54
R_122;wydatki_na_żywność_mc;1041
R_123;dochody roczne;54
R_123;wydatki_na_żywność_mc;1061
R_124;dochody roczne;54
R_124;wydatki_na_żywność_mc;1041
R_125;dochody roczne;54
R_125;wydatki_na_żywność_mc;1061
dane pochodzą z ankiety;;
